CONTRATO;CODIGO;DESEMBOLSO;SALDO_REAL;MONTO_CUOTA;NUMERO_CUOTAS;CUOTAS_PAGADAS;CUOTAS_PENDIENTES;TASA;FECHA_ALTA;FECHA_VENCIMIENTO;COD_PRODUCTO
704804;969222962372;51785;46989;1261;48;6;42;17;16/08/2010;18/08/2014;P001
704807;769232752852;121500;121180;1263;174;2;172;9,39;23/06/2010;30/06/2025;H004
704808;769232752852;12500;12500;794;29;0;29;9,39;23/06/2010;30/06/2025;H004
710022;969222962372;72065;29159;1513;60;39;21;9,75;06/11/2007;30/11/2012;V001
708173;669231632082;20000;20000;20541;1;0;1;35;24/01/2011;25/04/2011;C001
700862;669094697297;5000;3294;480;12;6;6;30;25/05/2004;25/05/2005;P001
703060;169207111201;10000;1583;274;47;41;6;13,9;31/08/2007;23/08/2011;P001
712077;569222506496;7000;4997;222;42;15;27;17;19/10/2009;17/05/2013;P001
709051;569224551181;600;210;23;35;25;10;22,9;16/12/2008;15/12/2011;P001
710081;69225089869;5000;4707;146;48;7;41;18,9;07/05/2008;30/05/2012;P001
711366;169083128188;67575;53958;874;120;35;85;9,75;03/03/2008;10/03/2018;H001
698046;469215468608;5000;3657;258;23;7;16;19;15/06/2010;02/06/2012;P001
713060;969107983703;105760;61164;1417;120;65;55;10,5;05/09/2005;05/09/2015;H001
703007;769202769339;25000;539;543;22;21;1;11;27/04/2009;05/03/2011;P001
702729;269206203573;3000;2023;155;24;9;15;23,15;07/05/2010;17/05/2012;P001
713125;569209566516;81200;54175;1000;144;64;80;11;31/10/2005;31/10/2017;H002
713126;569209566516;20300;14050;1534;24;10;14;11;31/10/2005;31/10/2017;H002
705855;69094028378;25000;19384;661;48;13;35;12,75;05/01/2010;22/01/2014;P001
705636;69234036976;16700;14037;623;35;6;29;20,15;24/07/2010;02/07/2013;P001
710005;769065701861;79387;13370;2303;42;36;6;11,9;31/08/2007;30/08/2011;P001
714300;669057633203;15120;3010;780;23;20;3;18,9;28/05/2009;02/05/2011;P001
700404;769065701861;294000;206217;3780;86;15;71;9,5;30/10/2009;07/01/2017;H001
702573;269220221761;7500;7021;278;35;3;32;19,5;28/10/2010;02/10/2013;P001
702699;269217240280;15500;8935;388;59;32;27;17,9;20/05/2008;05/05/2013;P001
703386;469208492692;100000;91320;3535;35;5;30;14,9;12/08/2010;05/08/2013;P001
705993;969219955855;4200;1739;177;32;22;10;25;23/04/2009;01/01/2012;P001
707213;69147092742;40000;14765;840;60;42;18;9,75;09/08/2007;09/08/2012;H001
707226;69147092742;15000;8060;368;59;33;26;16,9;07/04/2008;03/04/2013;P001
707873;369222300300;11120;4499;414;35;27;8;19,9;10/10/2008;05/10/2011;P001
712673;69069048078;58000;46501;603;240;87;153;11,5;04/11/2003;30/11/2023;H002
712674;69069048078;14500;11768;932;40;14;26;11,5;04/11/2003;30/11/2023;H002
700112;569212598888;1650;765;112;18;14;4;30;30/05/2005;30/11/2006;P001
703818;669207652232;46400;35110;547;144;54;90;10;10/06/2006;30/08/2018;H001
714239;169232163513;1000;609;93;12;5;7;23,15;01/09/2010;02/09/2011;P001
714244;169232163513;104630;103481;848;216;5;211;9,39;29/09/2010;30/09/2028;H004
714245;169232163513;12500;12500;722;36;0;36;9,39;29/09/2010;30/09/2028;H004
702135;869222871791;1000;931;102;11;1;10;21,9;31/12/2010;30/12/2011;P001
708243;669202644944;2000;580;199;11;8;3;20,15;18/05/2010;05/05/2011;P001
698329;569032500910;8630;4836;206;60;33;27;16;20/11/2007;22/05/2013;P001
703777;69231004114;145733;145733;1468;240;0;240;11;07/02/2011;07/02/2031;H001
705680;69201041801;67715;10478;1357;48;41;7;9,99;24/09/2007;30/09/2011;V001
708063;469205464284;28000;15844;1008;36;19;17;18,9;30/07/2009;30/07/2012;P001
711309;469236476736;250000;250000;253027;1;0;1;15;10/02/2011;31/08/2011;C001
700032;869225825795;1650;1619;63;35;1;34;21,9;29/12/2010;02/12/2013;P001
704974;669220668898;121980;105025;1221;180;44;136;9;15/06/2007;15/06/2022;H001
705005;669220668898;30500;11204;803;47;32;15;11,5;30/05/2008;10/05/2012;P001
707101;669230666426;65719;64868;1379;60;1;59;9,75;08/01/2011;08/01/2016;V001
713659;869212803163;8000;5257;225;48;21;27;16,5;25/05/2009;30/05/2013;P001
705388;569233558988;3000;2910;154;24;2;22;21,9;24/12/2010;31/12/2012;P001
709030;969226980190;7000;2684;698;11;6;5;20,15;10/07/2010;02/07/2011;P001
701510;469113417137;84738;33953;1750;60;42;18;8,99;15/08/2007;30/08/2012;V001
708556;569224538058;66597;64484;3972;20;3;17;21;08/11/2010;30/07/2012;C001
701142;269024276726;127585;7551;1943;135;131;4;15;09/03/2000;15/06/2011;H001
708855;769219777997;98000;94472;1042;240;29;211;11,9;09/09/2008;09/09/2028;H001
710911;869007876206;2900;281;144;23;21;2;13,9;13/04/2009;05/04/2011;P001
713254;669217686686;78880;62304;901;180;59;121;11,5;03/03/2006;31/03/2021;H002
713255;669217686686;19720;16089;1395;30;9;21;11,5;03/03/2006;31/03/2021;H002
703501;269210298338;2120;1343;178;11;8;3;21;24/05/2008;15/05/2009;P001
713882;769102734634;31350;27800;1075;36;5;31;14,9;17/09/2010;20/09/2013;P001
700601;69221048708;17500;10389;613;35;16;19;14,9;11/09/2009;02/09/2012;P001
697911;669230664404;3500;3138;271;15;2;13;21,9;20/11/2010;21/03/2012;P001
700655;69221048708;21000;19555;1019;24;2;22;15,5;23/11/2010;03/12/2012;P001
705710;769209733823;2800;275;279;11;11;0;19,9;24/02/2010;05/02/2011;P001
700683;269217270960;5200;1042;270;23;20;3;19,9;05/06/2009;01/06/2011;P001
706161;169130112812;15000;4934;746;24;17;7;18,9;09/09/2009;09/09/2011;P001
709435;69007015565;180000;163522;1777;180;30;150;8,75;07/08/2008;07/08/2023;H001
697277;269221269069;5739;5699;204;59;4;55;40;26/03/2009;01/03/2014;P001
711508;769226738338;7000;2228;219;42;31;11;17;16/07/2008;17/01/2012;P001
712453;969212904334;69600;14941;999;120;101;19;12,5;18/09/2002;28/09/2012;H002
712454;969212904334;17400;4654;1542;20;16;4;12,5;18/09/2002;28/09/2012;H002
699327;269208238138;12470;7172;376;48;26;22;21;10/12/2008;30/12/2012;P001
708986;369104389859;20500;16840;484;59;14;45;14,9;11/11/2009;03/11/2014;P001
713468;369104389859;86130;71705;864;179;51;128;9;21/10/2006;02/10/2021;H001
697766;569222551121;2000;2000;206;11;0;11;27,5;23/02/2011;02/02/2012;P001
697794;769204779119;118900;107414;1190;180;35;145;9;28/03/2008;28/03/2023;H001
705923;69215042672;69600;60044;723;240;64;176;11,5;31/10/2005;31/10/2025;H002
705924;69215042672;17400;15187;1109;40;10;30;11,5;31/10/2005;31/10/2025;H002
709425;669210607007;116820;101479;1302;180;47;133;11;02/03/2007;02/03/2022;H001
713693;269225277527;4000;1223;146;35;27;8;18;25/11/2008;01/11/2011;P001
711216;969214938958;30856;13772;476;35;2;33;9,9;26/11/2010;05/11/2013;V001
713621;569210564724;3000;2596;154;24;4;20;21,9;05/10/2010;15/10/2012;P001
703376;469111493753;20000;18590;484;59;6;53;16,15;13/07/2010;09/07/2015;P001
703470;469111493753;24300;24300;597;60;0;60;17,5;09/02/2011;09/02/2016;P001
707272;669087613883;200000;108371;61392;4;2;2;18;09/10/2009;09/10/2011;C001
