CODIGO;CTA_AHORRO;SALDO_AHORRO;CTA_PLAZO;SALDO_PLAZO;CTA_FONDO;SALDO_FONDO;CTA_CTS;SALDO_CTS;CTA_PRESTAMO;SALDO_PRESTAMO;CTA_HIPOTECARIO;SALDO_HIPOTECARIO;CTA_TARJETA;SALDO_TARJETA
769235702292;1;10024;0;0;0;0;0;0;0;0;0;0;0;0
769235703023;1;49;0;0;0;0;0;0;0;0;0;0;0;0
769235704514;1;0;0;0;0;0;0;0;0;0;0;0;0;0
769235706416;1;641;0;0;0;0;0;0;0;0;0;0;0;0
769235706586;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235688298;0;0;0;0;0;0;0;0;0;0;0;0;1;1514
669235689349;0;0;0;0;0;0;0;0;0;0;0;0;1;2049
669235694654;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235672672;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235672682;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235675535;2;24;0;0;0;0;0;0;0;0;0;0;0;0
669235675705;0;0;0;0;0;0;1;0;0;0;0;0;0;0
669235675775;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235679119;0;0;0;0;0;0;0;0;0;0;0;0;1;0
669235679349;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235680710;1;1362;0;0;0;0;0;0;0;0;0;0;0;0
669235681931;1;0;0;0;0;0;1;953;0;0;0;0;0;0
669235682372;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235682992;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235683473;1;0;0;0;1;0;0;0;0;0;0;0;0;0
669235662982;1;108;0;0;0;0;1;82;0;0;0;0;0;0
669235665675;0;0;0;0;0;0;1;8;0;0;0;0;0;0
669235665845;0;0;0;0;0;0;1;78;0;0;0;0;0;0
669235665855;0;0;0;0;0;0;1;17;0;0;0;0;0;0
669235667317;0;0;0;0;0;0;1;786;0;0;0;0;0;0
669235669049;0;0;0;0;0;0;1;107;0;0;0;0;0;0
669235671991;1;846;0;0;0;0;0;0;0;0;0;0;0;0
669235653593;0;0;0;0;0;0;0;0;0;0;0;0;1;0
669235653693;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235654194;1;288;0;0;0;0;1;0;0;0;0;0;0;0
169236158308;1;16;0;0;0;0;0;0;0;0;0;0;0;0
169236158878;1;171;0;0;0;0;0;0;0;0;0;0;0;0
169236159689;2;50;0;0;0;0;0;0;0;0;0;0;0;0
169236163673;1;73;0;0;0;0;1;0;0;0;0;0;0;0
169236163963;1;610;0;0;0;0;1;243;0;0;0;0;1;0
169236164374;1;4;0;0;0;0;0;0;0;0;0;0;0;0
169236165935;1;23;0;0;0;0;0;0;0;0;0;0;0;0
169236145815;0;0;1;8172;0;0;0;0;0;0;0;0;0;0
169236146116;1;69;0;0;0;0;0;0;0;0;0;0;0;0
169236146506;0;0;0;0;0;0;0;0;0;0;0;0;1;1527
169236149429;1;0;0;0;0;0;0;0;0;0;0;0;0;0
169236150200;1;0;0;0;0;0;0;0;0;0;0;0;0;0
169236152602;1;0;0;0;1;651;0;0;0;0;0;0;0;0
169236153853;0;0;1;72193;0;0;0;0;0;0;0;0;0;0
169236136206;2;2071;0;0;0;0;0;0;0;0;0;0;0;0
169236136246;1;0;0;0;0;0;0;0;0;0;0;0;0;0
169236138568;1;1985;0;0;0;0;1;419;0;0;0;0;0;0
169236142352;1;0;0;0;0;0;0;0;0;0;0;0;0;0
169236125005;1;0;0;0;0;0;0;0;0;0;0;0;0;0
169236125775;1;2872;0;0;0;0;0;0;0;0;0;0;0;0
169236128178;2;9;0;0;0;0;0;0;0;0;0;0;0;0
169236128208;1;18;0;0;0;0;0;0;0;0;0;0;0;0
169236128808;1;2812;0;0;0;0;0;0;0;0;0;0;0;0
169236129399;1;16;0;0;0;0;0;0;0;0;0;0;0;0
169236130340;1;7805;0;0;0;0;0;0;0;0;0;0;0;0
169236131001;1;15;0;0;0;0;0;0;0;0;0;0;0;0
169236131761;0;0;0;0;0;0;1;56;0;0;0;0;0;0
169236132902;1;389;0;0;0;0;0;0;0;0;0;0;0;0
169236133843;1;13014;0;0;0;0;0;0;0;0;0;0;0;0
169236134674;1;4;0;0;0;0;0;0;0;0;0;0;0;0
169236115195;0;0;0;0;0;0;0;0;0;0;0;0;1;2238
169236115415;1;0;0;0;0;0;0;0;0;0;0;0;0;0
169236117627;0;0;0;0;0;0;0;0;0;0;0;0;1;4154
169236121381;0;0;0;0;0;0;0;0;0;0;0;0;1;0
669237684444;1;73;0;0;0;0;0;0;0;0;0;0;0;0
669237685055;1;340;0;0;0;0;0;0;0;0;0;0;0;0
669237687167;1;248;0;0;0;0;0;0;0;0;0;0;0;0
669237687197;1;75;0;0;0;0;0;0;0;0;0;0;0;0
669237687377;1;11;0;0;0;0;0;0;0;0;0;0;0;0
669237687397;1;248;0;0;0;0;0;0;0;0;0;0;0;0
669237687647;1;87;0;0;0;0;1;28;0;0;0;0;1;0
669237688278;1;1500;0;0;0;0;0;0;0;0;0;0;0;0
669237688988;0;0;1;5000;0;0;0;0;0;0;0;0;0;0
669237670970;1;464;0;0;0;0;0;0;0;0;0;0;0;0
669237673323;2;47;0;0;0;0;1;38;0;0;0;0;0;0
669237673473;1;650;0;0;0;0;0;0;0;0;0;0;1;0
669237673823;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669237674444;0;0;0;0;0;0;0;0;0;0;0;0;1;356
669237676706;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669237677017;1;0;0;0;0;0;1;41;0;0;0;0;0;0
669235684804;1;33;0;0;0;0;0;0;0;0;0;0;0;0
669235689939;0;0;0;0;0;0;1;203;0;0;0;0;0;0
669235689999;1;682;0;0;0;0;1;0;0;0;0;0;0;0
669235692832;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235694334;1;41;0;0;0;0;0;0;0;0;0;0;0;0
669235672622;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235672642;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235672652;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235673863;0;0;0;0;0;0;1;196;0;0;0;0;0;0
669235674204;0;0;0;0;0;0;1;7;0;0;0;0;0;0
669235676796;1;1;0;0;0;0;0;0;0;0;0;0;0;0
669235678358;1;4;0;0;0;0;0;0;0;0;0;0;0;0
669235678668;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235679909;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235681741;0;0;0;0;0;0;1;0;0;0;0;0;0;0
669235682702;0;0;0;0;0;0;1;74;0;0;0;0;0;0
669235662952;1;1;0;0;0;0;0;0;0;0;0;0;0;0
669235663013;1;0;0;0;0;0;0;0;0;0;0;0;0;0
669235663493;1;18;0;0;0;0;0;0;0;0;0;0;0;0
669235665375;0;0;0;0;0;0;1;11;0;0;0;0;0;0
669235665985;0;0;0;0;0;0;1;6;0;0;0;0;0;0
